"model","manufacturer","light_type","color","wavelength_nm","mode","active_width_mm","active_height_mm","best_for"
"ML-AOI212-RGBW","慕藤光","Dome","RGBW","0","Continuous","212","212","慕藤光官网：AIO光源；功率 24V/10W；尺寸 212 mm；角度 未公开"
"ML-AOI150-RGB","慕藤光","Dome","RGB","0","Continuous","150","150","慕藤光官网：AOI光源；功率 未公开；尺寸 未公开；角度 未公开"
"ML-AOI-212-RGBW","慕藤光","Dome","RGBW","0","Continuous","212","212","慕藤光官网：AOI光源；功率 未公开；尺寸 未公开；角度 未公开"
"ML-AOI81-180-RGB","慕藤光","Dome","RGB","0","Continuous","180","81","慕藤光官网：AOI光源；功率 未公开；尺寸 未公开；角度 未公开"
"ML-AOI81-RGB","慕藤光","Dome","RGB","0","Continuous","81","81","慕藤光官网：AOI光源；功率 未公开；尺寸 未公开；角度 未公开"
"ML-D112-W-R-G-B","慕藤光","Dome","White/Red/Green/Blue","0","Continuous","112","112","慕藤光官网：LED DOME圆顶形无影光源；功率 24V/7.5W；尺寸 112 mm；角度 未公开"
"ML-D135-W-R-G-B","慕藤光","Dome","White/Red/Green/Blue","0","Continuous","135","135","慕藤光官网：LED DOME圆顶形无影光源；功率 24V/7.5W；尺寸 135 mm；角度 未公开"
"ML-D230-W-R-G-B","慕藤光","Dome","White/Red/Green/Blue","0","Continuous","230","230","慕藤光官网：LED DOME圆顶形无影光源；功率 24V/25W；尺寸 230 mm；角度 未公开"
"ML-D300-W-R-G-B","慕藤光","Dome","White/Red/Green/Blue","0","Continuous","300","300","慕藤光官网：LED DOME圆顶形无影光源；功率 24V/38W；尺寸 300 mm；角度 未公开"
"ML-D380-W-R-G-B","慕藤光","Dome","White/Red/Green/Blue","0","Continuous","380","380","慕藤光官网：LED DOME圆顶形无影光源；功率 24V/52W；尺寸 380 mm；角度 未公开"
"ML-D92-W-R-G-B","慕藤光","Dome","White/Red/Green/Blue","0","Continuous","92","92","慕藤光官网：LED DOME圆顶形无影光源；功率 24V/6.0W；尺寸 92 mm；角度 未公开"
"ML-DS100-W-R-G-B","慕藤光","Dome","White/Red/Green/Blue","0","Continuous","100","100","慕藤光官网：LED DOME圆顶形无影光源；功率 24V/5.2W；尺寸 未公开；角度 未公开"
"ML-DS210-W-R-G-B","慕藤光","Dome","White/Red/Green/Blue","0","Continuous","210","210","慕藤光官网：LED DOME圆顶形无影光源；功率 24V/10W；尺寸 未公开；角度 未公开"
"ML-DS75-W-R-G-B","慕藤光","Dome","White/Red/Green/Blue","0","Continuous","75","75","慕藤光官网：LED DOME圆顶形无影光源；功率 24V/3.5W；尺寸 未公开；角度 未公开"
"ML-Q150-W-R-G-B-IR","慕藤光","Dome","White/Red/Green/Blue/IR","0","Continuous","150","150","慕藤光官网：LED方形漫射光源；功率 24V/9W；尺寸 150*150 mm；角度 60°"
"ML-R10000-W-R-G-B-IR","慕藤光","Ring","White/Red/Green/Blue/IR","0","Continuous","100","100","慕藤光官网：LED环形光源；功率 24V/8.0W；尺寸 100 mm；角度 0°"
"ML-R10015-W-R-G-B-IR","慕藤光","Ring","White/Red/Green/Blue/IR","0","Continuous","100","100","慕藤光官网：LED环形光源；功率 24V/8.4W；尺寸 100 mm；角度 15°"
"ML-R10030-W-R-G-B-IR","慕藤光","Ring","White/Red/Green/Blue/IR","0","Continuous","100","100","慕藤光官网：LED环形光源；功率 24V/8.4W；尺寸 100 mm；角度 30°"
"ML-R10045-W-R-G-B-IR","慕藤光","Ring","White/Red/Green/Blue/IR","0","Continuous","100","100","慕藤光官网：LED环形光源；功率 24V/10.5W；尺寸 100 mm；角度 45°"
"ML-R10060-W-R-G-B-IR","慕藤光","Ring","White/Red/Green/Blue/IR","0","Continuous","100","100","慕藤光官网：LED环形光源；功率 24V/7.8W；尺寸 100 mm；角度 60°"
"ML-R10075-W-R-G-B-IR","慕藤光","Ring","White/Red/Green/Blue/IR","0","Continuous","100","100","慕藤光官网：LED环形光源；功率 24V/7.8W；尺寸 100 mm；角度 75°"
"ML-R10090-W-R-G-B-IR","慕藤光","Ring","White/Red/Green/Blue/IR","0","Continuous","100","100","慕藤光官网：LED环形光源；功率 24V/3.0W；尺寸 100 mm；角度 90°"
"ML-R12000-W-R-G-B-IR","慕藤光","Ring","White/Red/Green/Blue/IR","0","Continuous","120","120","慕藤光官网：LED环形光源；功率 24V/12W；尺寸 120 mm；角度 0°"
"ML-R12015-W-R-G-B-IR","慕藤光","Ring","White/Red/Green/Blue/IR","0","Continuous","120","120","慕藤光官网：LED环形光源；功率 24V/11W；尺寸 120 mm；角度 15°"
"ML-R12030-W-R-G-B-IR","慕藤光","Ring","White/Red/Green/Blue/IR","0","Continuous","120","120","慕藤光官网：LED环形光源；功率 24V/11W；尺寸 120 mm；角度 30°"
"ML-R12045-W-R-G-B-IR","慕藤光","Ring","White/Red/Green/Blue/IR","0","Continuous","120","120","慕藤光官网：LED环形光源；功率 24V/13W；尺寸 120 mm；角度 45°"
"ML-R12060-W-R-G-B-IR","慕藤光","Ring","White/Red/Green/Blue/IR","0","Continuous","120","120","慕藤光官网：LED环形光源；功率 24V/11W；尺寸 120 mm；角度 60°"
"ML-R12075-W-R-G-B-IR","慕藤光","Ring","White/Red/Green/Blue/IR","0","Continuous","120","120","慕藤光官网：LED环形光源；功率 24V/11W；尺寸 120 mm；角度 75°"
"ML-R12090-W-R-G-B-IR","慕藤光","Ring","White/Red/Green/Blue/IR","0","Continuous","120","120","慕藤光官网：LED环形光源；功率 24V/3.5W；尺寸 120 mm；角度 90°"
"ML-R15000-W-R-G-B-IR","慕藤光","Ring","White/Red/Green/Blue/IR","0","Continuous","150","150","慕藤光官网：LED环形光源；功率 24V/18W；尺寸 150 mm；角度 0°"
"ML-R15015-W-R-G-B-IR","慕藤光","Ring","White/Red/Green/Blue/IR","0","Continuous","150","150","慕藤光官网：LED环形光源；功率 24V/14W；尺寸 150 mm；角度 15°"
"ML-R15030-W-R-G-B-IR","慕藤光","Ring","White/Red/Green/Blue/IR","0","Continuous","150","150","慕藤光官网：LED环形光源；功率 24V/15W；尺寸 150 mm；角度 30°"
"ML-R15045-W-R-G-B-IR","慕藤光","Ring","White/Red/Green/Blue/IR","0","Continuous","150","150","慕藤光官网：LED环形光源；功率 24V/18W；尺寸 150 mm；角度 45°"
"ML-R15060-W-R-G-B-IR","慕藤光","Ring","White/Red/Green/Blue/IR","0","Continuous","150","150","慕藤光官网：LED环形光源；功率 24V/15W；尺寸 150 mm；角度 60°"
"ML-R15075-W-R-G-B-IR","慕藤光","Ring","White/Red/Green/Blue/IR","0","Continuous","150","150","慕藤光官网：LED环形光源；功率 24V/12W；尺寸 150 mm；角度 75°"
"ML-R15090-W-R-G-B-IR","慕藤光","Ring","White/Red/Green/Blue/IR","0","Continuous","150","150","慕藤光官网：LED环形光源；功率 24V/4.0W；尺寸 150 mm；角度 90°"
"ML-R18000-W-R-G-B-IR","慕藤光","Ring","White/Red/Green/Blue/IR","0","Continuous","180","180","慕藤光官网：LED环形光源；功率 24V/14W；尺寸 180 mm；角度 0°"
"ML-R4225-W-R-G-B-IR","慕藤光","Ring","White/Red/Green/Blue/IR","0","Continuous","42","42","慕藤光官网：LED环形光源；功率 24V/2.0W；尺寸 42 mm；角度 25°"
"ML-R4500-W-R-G-B-IR","慕藤光","Ring","White/Red/Green/Blue/IR","0","Continuous","47","47","慕藤光官网：LED环形光源；功率 24V/1.3W；尺寸 47 mm；角度 0°"
"ML-R4630-W-R-G-B-IR","慕藤光","Ring","White/Red/Green/Blue/IR","0","Continuous","46","46","慕藤光官网：LED环形光源；功率 24V/2.4W；尺寸 46 mm；角度 30°"
"ML-R5000-W-R-G-B-IR","慕藤光","Ring","White/Red/Green/Blue/IR","0","Continuous","50","50","慕藤光官网：LED环形光源；功率 24V/2.4W；尺寸 50 mm；角度 0°"
"ML-R5015-W-R-G-B-IR","慕藤光","Ring","White/Red/Green/Blue/IR","0","Continuous","50","50","慕藤光官网：LED环形光源；功率 24V/2.2W；尺寸 50 mm；角度 15°"
"ML-R5030-W-R-G-B-IR","慕藤光","Ring","White/Red/Green/Blue/IR","0","Continuous","50","50","慕藤光官网：LED环形光源；功率 24V/2.2W；尺寸 50 mm；角度 30°"
"ML-R5045-W-R-G-B-IR","慕藤光","Ring","White/Red/Green/Blue/IR","0","Continuous","50","50","慕藤光官网：LED环形光源；功率 24V/2.2W；尺寸 50 mm；角度 45°"
"ML-R5060-W-R-G-B-IR","慕藤光","Ring","White/Red/Green/Blue/IR","0","Continuous","50","50","慕藤光官网：LED环形光源；功率 24V/3.0W；尺寸 50 mm；角度 60°"
"ML-R5075-W-R-G-B-IR","慕藤光","Ring","White/Red/Green/Blue/IR","0","Continuous","50","50","慕藤光官网：LED环形光源；功率 24V/2.2W；尺寸 50 mm；角度 75°"
"ML-R5090-W-R-G-B-IR","慕藤光","Ring","White/Red/Green/Blue/IR","0","Continuous","50","50","慕藤光官网：LED环形光源；功率 24V/1.0W；尺寸 50 mm；角度 90°"
"ML-R6000-W-R-G-B-IR","慕藤光","Ring","White/Red/Green/Blue/IR","0","Continuous","60","60","慕藤光官网：LED环形光源；功率 24V/3.5W；尺寸 60 mm；角度 0°"
"ML-R6015-W-R-G-B-IR","慕藤光","Ring","White/Red/Green/Blue/IR","0","Continuous","60","60","慕藤光官网：LED环形光源；功率 24V/3W；尺寸 60 mm；角度 15°"
"ML-R6030-W-R-G-B-IR","慕藤光","Ring","White/Red/Green/Blue/IR","0","Continuous","60","60","慕藤光官网：LED环形光源；功率 24V/2.6W；尺寸 60 mm；角度 30°"
"ML-R6045-W-R-G-B-IR","慕藤光","Ring","White/Red/Green/Blue/IR","0","Continuous","60","60","慕藤光官网：LED环形光源；功率 24V/3.8W；尺寸 60 mm；角度 45°"
"ML-R6060-W-R-G-B-IR","慕藤光","Ring","White/Red/Green/Blue/IR","0","Continuous","60","60","慕藤光官网：LED环形光源；功率 24V/3.8W；尺寸 60 mm；角度 60°"
"ML-R6075-W-R-G-B-IR","慕藤光","Ring","White/Red/Green/Blue/IR","0","Continuous","60","60","慕藤光官网：LED环形光源；功率 24V/3.0W；尺寸 60 mm；角度 75°"
"ML-R6090-W-R-G-B-IR","慕藤光","Ring","White/Red/Green/Blue/IR","0","Continuous","60","60","慕藤光官网：LED环形光源；功率 24V/1.5W；尺寸 60 mm；角度 90°"
"ML-R7000-W-R-G-B-IR","慕藤光","Ring","White/Red/Green/Blue/IR","0","Continuous","70","70","慕藤光官网：LED环形光源；功率 24V/4.5W；尺寸 70 mm；角度 0°"
"ML-R7015-W-R-G-B-IR","慕藤光","Ring","White/Red/Green/Blue/IR","0","Continuous","70","70","慕藤光官网：LED环形光源；功率 24V/4.5W；尺寸 70 mm；角度 15°"
"ML-R7030-W-R-G-B-IR","慕藤光","Ring","White/Red/Green/Blue/IR","0","Continuous","70","70","慕藤光官网：LED环形光源；功率 24V/4.5W；尺寸 70 mm；角度 30°"
"ML-R7045-W-R-G-B-IR","慕藤光","Ring","White/Red/Green/Blue/IR","0","Continuous","70","70","慕藤光官网：LED环形光源；功率 24V/4.8W；尺寸 70 mm；角度 45°"
"ML-R7060-W-R-G-B-IR","慕藤光","Ring","White/Red/Green/Blue/IR","0","Continuous","70","70","慕藤光官网：LED环形光源；功率 24V/5.0W；尺寸 70 mm；角度 60°"
"ML-R7075-W-R-G-B-IR","慕藤光","Ring","White/Red/Green/Blue/IR","0","Continuous","70","70","慕藤光官网：LED环形光源；功率 24V/3.2W；尺寸 70 mm；角度 75°"
"ML-R7090-W-R-G-B-IR","慕藤光","Ring","White/Red/Green/Blue/IR","0","Continuous","70","70","慕藤光官网：LED环形光源；功率 24V/1.6W；尺寸 70 mm；角度 90°"
"ML-R7550-W-R-G-B-IR","慕藤光","Ring","White/Red/Green/Blue/IR","0","Continuous","75","75","慕藤光官网：LED环形光源；功率 24V/3.5W；尺寸 75 mm；角度 50°"
"ML-R8000-W-R-G-B-IR","慕藤光","Ring","White/Red/Green/Blue/IR","0","Continuous","80","80","慕藤光官网：LED环形光源；功率 24V/5.0W；尺寸 80 mm；角度 0°"
"ML-R8015-W-R-G-B-IR","慕藤光","Ring","White/Red/Green/Blue/IR","0","Continuous","80","80","慕藤光官网：LED环形光源；功率 24V/5.0W；尺寸 80 mm；角度 15°"
"ML-R8030-W-R-G-B-IR","慕藤光","Ring","White/Red/Green/Blue/IR","0","Continuous","80","80","慕藤光官网：LED环形光源；功率 24V/5.0W；尺寸 80 mm；角度 30°"
"ML-R8045-W-R-G-B-IR","慕藤光","Ring","White/Red/Green/Blue/IR","0","Continuous","80","80","慕藤光官网：LED环形光源；功率 24V/5.5W；尺寸 80 mm；角度 45°"
"ML-R8060-W-R-G-B-IR","慕藤光","Ring","White/Red/Green/Blue/IR","0","Continuous","80","80","慕藤光官网：LED环形光源；功率 24V/6.0W；尺寸 80 mm；角度 60°"
"ML-R8075-W-R-G-B-IR","慕藤光","Ring","White/Red/Green/Blue/IR","0","Continuous","80","80","慕藤光官网：LED环形光源；功率 24V/4.0W；尺寸 80 mm；角度 75°"
"ML-R8090-W-R-G-B-IR","慕藤光","Ring","White/Red/Green/Blue/IR","0","Continuous","80","80","慕藤光官网：LED环形光源；功率 24V/2.0W；尺寸 80 mm；角度 90°"
"ML-R9000-W-R-G-B-IR","慕藤光","Ring","White/Red/Green/Blue/IR","0","Continuous","90","90","慕藤光官网：LED环形光源；功率 24V/6.8W；尺寸 90 mm；角度 0°"
"ML-R9015-W-R-G-B-IR","慕藤光","Ring","White/Red/Green/Blue/IR","0","Continuous","90","90","慕藤光官网：LED环形光源；功率 24V/7.8W；尺寸 90 mm；角度 15°"
"ML-R9030-W-R-G-B-IR","慕藤光","Ring","White/Red/Green/Blue/IR","0","Continuous","90","90","慕藤光官网：LED环形光源；功率 24V/7.8W；尺寸 90 mm；角度 30°"
"ML-R9045-W-R-G-B-IR","慕藤光","Ring","White/Red/Green/Blue/IR","0","Continuous","90","90","慕藤光官网：LED环形光源；功率 24V/8.0W；尺寸 90 mm；角度 45°"
"ML-R9060-W-R-G-B-IR","慕藤光","Ring","White/Red/Green/Blue/IR","0","Continuous","90","90","慕藤光官网：LED环形光源；功率 24V/7.2W；尺寸 90 mm；角度 60°"
"ML-R9075-W-R-G-B-IR","慕藤光","Ring","White/Red/Green/Blue/IR","0","Continuous","90","90","慕藤光官网：LED环形光源；功率 24V/7.2W；尺寸 90 mm；角度 75°"
"ML-R9090-W-R-G-B-IR","慕藤光","Ring","White/Red/Green/Blue/IR","0","Continuous","90","90","慕藤光官网：LED环形光源；功率 24V/2.4W；尺寸 90 mm；角度 90°"
"ML-R9200-W-R-G-B-IR","慕藤光","Ring","White/Red/Green/Blue/IR","0","Continuous","92","92","慕藤光官网：LED环形光源；功率 24V/8.0W；尺寸 92 mm；角度 0°"
"ML-R9690-W-R-G-B-IR","慕藤光","Ring","White/Red/Green/Blue/IR","0","Continuous","96","96","慕藤光官网：LED环形光源；功率 24V/2.3W；尺寸 96 mm；角度 90°"
"ML-RD100-W-R-G-B-IR","慕藤光","Dome","White/Red/Green/Blue/IR","0","Continuous","100","100","慕藤光官网：LED环形漫射光源；功率 24V/5W；尺寸 100 mm；角度 60°"
"ML-RD180-W-R-G-B-IR","慕藤光","Dome","White/Red/Green/Blue/IR","0","Continuous","180","180","慕藤光官网：LED环形漫射光源；功率 24V/8W；尺寸 180 mm；角度 60°"
"ML-B100X100-W-R-G-B-IR","慕藤光","Backlight","White/Red/Green/Blue/IR","0","Continuous","100","100","慕藤光官网：LED面光源；功率 24V/16W；尺寸 124*109 mm；角度 未公开"
"ML-B100X30-W-R-G-B-IR","慕藤光","Backlight","White/Red/Green/Blue/IR","0","Continuous","100","30","慕藤光官网：LED面光源；功率 24V/4.0W；尺寸 118*39 mm；角度 未公开"
"ML-B120X100-W-R-G-B-IR","慕藤光","Backlight","White/Red/Green/Blue/IR","0","Continuous","120","100","慕藤光官网：LED面光源；功率 24V/20W；尺寸 144*108 mm；角度 未公开"
"ML-B150X100-W-R-G-B-IR","慕藤光","Backlight","White/Red/Green/Blue/IR","0","Continuous","150","100","慕藤光官网：LED面光源；功率 24V/22W；尺寸 174*108 mm；角度 未公开"
"ML-B150X150-W-R-G-B-IR","慕藤光","Backlight","White/Red/Green/Blue/IR","0","Continuous","150","150","慕藤光官网：LED面光源；功率 24V/27W；尺寸 174*158 mm；角度 未公开"
"ML-B200X150-W-R-G-B-IR","慕藤光","Backlight","White/Red/Green/Blue/IR","0","Continuous","200","150","慕藤光官网：LED面光源；功率 24V/29W；尺寸 224*158 mm；角度 未公开"
"ML-B200X200-W-R-G-B-IR","慕藤光","Backlight","White/Red/Green/Blue/IR","0","Continuous","200","200","慕藤光官网：LED面光源；功率 24V/32W；尺寸 224*208 mm；角度 未公开"
"ML-B20X20-W-R-G-B-IR","慕藤光","Backlight","White/Red/Green/Blue/IR","0","Continuous","20","20","慕藤光官网：LED面光源；功率 24V/0.7W；尺寸 44*29 mm；角度 未公开"
"ML-B250X200-W-R-G-B-IR","慕藤光","Backlight","White/Red/Green/Blue/IR","0","Continuous","250","200","慕藤光官网：LED面光源；功率 24V/40W；尺寸 274*208 mm；角度 未公开"
"ML-B250X250-W-R-G-B-IR","慕藤光","Backlight","White/Red/Green/Blue/IR","0","Continuous","250","250","慕藤光官网：LED面光源；功率 24V/50W；尺寸 274*258 mm；角度 未公开"
"ML-B300X250-W-R-G-B-IR","慕藤光","Backlight","White/Red/Green/Blue/IR","0","Continuous","300","250","慕藤光官网：LED面光源；功率 24V/60W；尺寸 324*258 mm；角度 未公开"
"ML-B300X300-W-R-G-B-IR","慕藤光","Backlight","White/Red/Green/Blue/IR","0","Continuous","300","300","慕藤光官网：LED面光源；功率 24V/72W；尺寸 324*308 mm；角度 未公开"
"ML-B32X32-W-R-G-B-IR","慕藤光","Backlight","White/Red/Green/Blue/IR","0","Continuous","32","32","慕藤光官网：LED面光源；功率 24V/1.5W；尺寸 43*41 mm；角度 未公开"
"ML-B350X300-W-R-G-B-IR","慕藤光","Backlight","White/Red/Green/Blue/IR","0","Continuous","350","300","慕藤光官网：LED面光源；功率 24V/84W；尺寸 374*308 mm；角度 未公开"
"ML-B350X350-W-R-G-B-IR","慕藤光","Backlight","White/Red/Green/Blue/IR","0","Continuous","350","350","慕藤光官网：LED面光源；功率 24V/95W；尺寸 374*358 mm；角度 未公开"
"ML-B50X50-W-R-G-B-IR","慕藤光","Backlight","White/Red/Green/Blue/IR","0","Continuous","50","50","慕藤光官网：LED面光源；功率 24V/4.0W；尺寸 73*59 mm；角度 未公开"
